"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:37:29,FALSE,NA,"914756205985361921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indlovukaziyoms",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:34:31,FALSE,NA,"914755458963042304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Qlwakhe",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:34:16,FALSE,NA,"914755396090376192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MlungwanaElias",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:33:15,FALSE,NA,"914755141802381312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MiKOtaughtyou_",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:25:16,FALSE,NA,"914753129907974144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheBestMalcolm",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:24:41,FALSE,NA,"914752985162506240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GogoAyabonga",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:24:22,FALSE,NA,"914752905156153344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LKoetaan",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:21:18,FALSE,NA,"914752134620614656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KK_Maitisa",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:20:44,FALSE,NA,"914751992228122625",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sanga_Cici",1342,TRUE,FALSE,NA,NA
"RT @TheWound_SAfilm: We did it! #Inxeba #TheWound #Oscars #ProudlySouthAfrican https://t.co/kemVQsVW6V",FALSE,0,NA,2017-10-02 07:20:18,FALSE,NA,"914751883562110976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I_am_KezaC",1342,TRUE,FALSE,NA,NA
